ID,учебник,тематика,название,текст
13,Материаловедение,материаловедение,Четыре группы конструкционных материалов,"Конструкционные материалы обычно подразделяются на четыре основные группы. Это металлы, керамика, полимеры и аморфные тела. Критерии этого деления – это химическое строение и атомная структура вещества. Чаще всего материал можно отнести к определенной группе, но бывают и исключения. Группа «Металлы» включает в себя один или несколько металлов (сплав), также может включать неметаллические элементы (например, азот, углерод) в относительно небольших количествах. Все металлы, затвердевающие в нормальных условиях, представляют собой кристаллические вещества, то есть укладка атомов в них характеризуется определенным порядком – периодичностью, как по различным направлениям, так и по различным плоскостям. Также металлы имеют высокую плотность в сравнении с другими группами материалов. Все металлы твердые и прочные, имеют свою пластичность и сопротивляемость разрушению, что обеспечило им широкое применение в разнообразных конструкциях. К металлам относятся: титан, железо, алюминий, медь, золото, никель и др., а также сплавы на их основе. Группа «Керамика» включает в себя материалы, занимающие промежуточное положение между металлами и неметаллическими элементами. К ним относятся оксиды, нитриды, карбиды, различные глины. Получается керамика спеканием порошков при высокой температуре. Керамика – это относительно жесткие и прочные материалы (в ряде случаев сравнимы с металлами). Обычно керамика очень твердая, но хрупкая и плохо сопротивляется разрушению, имеет значительную пористость. Керамика не проводит тепло и электрический ток. Для керамики характерно хорошее сопротивление высоким температурам и вредным воздействиям окружающей среды. К керамике относятся: Al2O3 (оксид алюминия), SiO2, Fe2O3 (оксид железа), Si3N4 (азотистый кремний), кирпич, антифрикционные материалы, фильтры, теплоизоляционные материалы, электроизоляторы, различные огнеупоры. Группа «Пластмассы» (пластические массы) – это искусственные материалы, основой которых являются синтетические или природные высокомолекулярные соединения (полимеры). Пластмассы обладают высокими механическими показателями, не подвержены коррозии, обладают высокой пористостью. Пластмассы являются плохими проводниками тепла, хорошо окрашиваются в любые цвета и долго сохраняют цвет. Они легко обрабатываются. К пластмассам относятся: полиэтилен, текстолит, полистирол, стеклопластики, пенопласты, оргстекло, винипласт и др. Группа «Аморфные тела» включает в себя материалы, у которых нет строгого порядка в расположении атомов. Только ближайшие атомы-соседи располагаются в некотором порядке. Но строгой повторяемости по всем направлениям одного и того же элемента структуры, которая характерна для металлов, в аморфных телах нет. По расположению атомов и по их поведению аморфные тела аналогичны жидкостям. Эта группа противоположна металлам. Физические свойства одинаковы во всех направлениях. Аморфные тела при низких температурах по своим свойствам напоминают твердые тела. Текучестью они почти не обладают, но по мере повышения температуры постепенно размягчаются и их свойства приближаются к свойствам жидкостей. К аморфным телам относятся различные виды стекол, канифоль, аморфные металлы и др.
"
14,Материаловедение,материаловедение,Агрегатные состояния вещества,"Любое рассматриваемое вещество или совокупность веществ принято называть системой. При этом системе противопоставляется внешняя среда – вещества, окружающие систему. Состояние системы, в которое она самопроизвольно приходит через достаточно большой промежуток времени при неизменных внешних условиях, называют равновесным. Различают гомогенные (состоят из одной фазы) и гетерогенные (состоят из нескольких фаз) системы. Фазой называется часть системы, отделенная от других ее частей поверхностью раздела, при переходе через которую свойства изменяются скачком. Фазой называют однородные составные части системы, имеющие одинаковый состав, одно и то же агрегатное состояние и отделенные от остальных частей поверхностями раздела. Например, однородный чистый металл или сплав является однофазной (гомогенной) системой. Состояние, когда одновременно присутствуют жидкий сплав (металл) и кристаллы, будет представлять двухфазную (гетерогенную) систему. Системой называют совокупность фаз, находящихся в состоянии равновесия. Каждая система и ее фазы характеризуются определенными параметрами: температурой, давлением, концентрацией компонентов. Компоненты – это вещества – химические индивиды, наименьшее число которых достаточно для образования всех фаз системы. При изменении внешних условий (температуры, давления и др.) вещество может переходить из одной фазы в другую. Такой переход называют фазовым. К фазовым переходам относятся испарение и конденсация, плавление и затвердевание и др. При фазовых переходах скачкообразно изменяется ряд физических свойств вещества (плотность, концентрация компонентов и др.). Агрегатные состояния вещества – состояние одного и того же вещества (вода, сталь и др.), переходы между которыми сопровождаются скачкообразным изменением ряда физических свойств (например, плотности). По своему агрегатному состоянию все вещества подразделяются на твердые, жидкие и газообразные. Каждое агрегатное состояние характеризуется определенным строением вещества соответственно определенными свойствами. Четвертым агрегатным состоянием часто называют плазму. Агрегатные состояния вещества зависят от физических условий, в которых оно находится (главным образом, от температуры и давления).
"
15,Теория электрических цепей,теория электрических цепей,-,"Электрический ток проводимости – это упорядоченное движение свободных носителей электрического заряда. Такими носителями электрического заряда в металлах являются электроны, в жидкостях и газах – как положительно, так и отрицательно заряженные ионы. За направление тока, вне зависимости от природы и типа носителей заряда, принимается направление, в котором перемещаются положительные носители заряда. Количественно ток оценивают зарядом, проходящим через поперечное сечение проводника в единицу времени. Другими словами, ток 𝑖 численно равен скорости изменения электрического заряда 𝑞 во времени 𝑡, то есть ток 𝑖 численно равен производной заряда 𝑞 по времени 𝑡: 𝑖 (𝑡) = 𝑑𝑞 / 𝑑𝑡. В общем случае мгновенное значение тока 𝑖 является функцией времени 𝑖 = 𝑖 (𝑡). В частном случае, если заряд 𝑞 является линейной функцией времени 𝑡, то скорость изменения заряда во времени – постоянная величина: 𝑖 (𝑡) = 𝑑𝑞 / 𝑑𝑡 = 𝑞 / 𝑡 = 𝐼 = 𝑐𝑜𝑛𝑠𝑡. Таким образом, ток может быть постоянным (неизменным во времени) или переменным. В Международной системе единиц (СИ) заряд 𝑞 выражают в кулонах (Кл), время в секундах (с), ток в амперах (А). Потенциал 𝜑А произвольной точки А электрического поля определяется как работа, которая совершается силами электрического поля по переносу единичного положительного заряда из точки А в бесконечность. Разность потенциалов между точками А и Б называется напряжением между этими точками: 𝑢 = 𝑢АБ = 𝜑А − 𝜑Б. В Международной системе единиц (СИ) напряжение 𝑢 выражают в вольтах (В)."
16,Теория электрических цепей,теория электрических цепей,-,"Электрической цепью называется совокупность устройств и объектов, образующих путь для электрического тока, электромагнитные процессы в которой могут быть описаны с помощью понятий электродвижущей силы, тока и напряжения. Элементы (или компоненты) электрической цепи можно разделить на две основные группы: источники электрической энергии и приемники (нагрузка). Источники электрической энергии (первичные источники) – это устройства, в которых происходит преобразование химической, тепловой, механической и других видов энергии в электрическую. К таким источникам относятся аккумуляторы, батарейки, солнечные батареи, гидрогенераторы и др. Вторичные источники энергии – это устройства, в которых происходит преобразование электрических токов и напряжений, например, постоянного тока в переменный или изменение напряжения. К таким источникам относятся блоки питания, стабилизаторы напряжения, электрические подстанции и т.п. Приемники электрической цепи – это элементы электрической цепи, в которых происходит преобразование электрической энергии в другие виды энергии или запасание энергии. К ним относятся резисторы, конденсаторы, катушки индуктивности, транзисторы и др. Каждый элемент электрической цепи имеет внешние выводы, с помощью которых он подключается к другим элементам цепи. Внешние выводы называются также зажимами или полюсами. В зависимости от количества выводов различают двухполюсные (например, резисторы) и многополюсные элементы (например, транзисторы). Электрическая схема – это графическое обозначение электрической цепи. Схема показывает, из каких элементов составлена цепь и как данные элементы соединены между собой. Соединительным линиям на схеме соответствуют провода, которые считают идеально проводящими. Элементы электрической цепи также можно разделить на активные и пассивные. Активные элементы цепи – это элементы цепи, которые вырабатывают (генерируют) электрическую энергию. К ним относятся источники электрической энергии. Также к активным элементам относятся устройства, которые преобразуют один вид электромагнитной энергии в другой. Пассивные элементы могут только накапливать энергию, поглощать или возвращать накопленную энергию. Скорость изменения энергии характеризуется мгновенной мощностью 𝑝(𝑡): 𝑝(𝑡) = 𝑑𝑊 / 𝑑𝑡. Следовательно, мгновенная мощность участка электрической цепи равна произведению напряжения на выводах этого участка цепи и тока, протекающего по этому участку 𝑝(𝑡) = 𝑢(𝑡)𝑖(𝑡)."
17,Теория электрических цепей,теория электрических цепей,Электрическая цепь и её элементы,"Электрическая цепь – это расчётная модель реального электротехнического устройства. Она строится из элементов. Элемент электрической цепи – идеализированный участок, где генерируется, запасается или преобразуется в другую форму электрическая энергия. Различают пассивные и активные элементы электрической цепи. Элементы, в которых электрическая энергия запасается или необратимо преобразуется в другую форму, называются пассивными. Используемые в теории цепей пассивные элементы принято делить на три идеализированные группы: сопротивления, индуктивности, емкости. Следует иметь в виду, что названные термины могут применяться для обозначения как самого пассивного элемента с определёнными свойствами, так и величины параметра, характеризующего этот элемент. Реальные элементы (катушки индуктивности, резисторы, потенциометры, реостаты и т.п.) проявляют в той или иной степени свойства, присущие идеальным пассивным элементам всех трех видов (резистивные, индуктивные, емкостные), что учитывается при построении их расчетных моделей. Активные элементы являются генераторами электрической энергии. При построении электрических схем пользуются двумя видами идеальных активных элементов: источниками электродвижущей силы (ЭДС) и источниками тока. Таким образом, цепная расчётная модель строится из пяти основных элементов: сопротивление, индуктивность, емкость, идеальный источник ЭДС, идеальный источник тока."
18,Теория электрических цепей,теория электрических цепей,Резистор,"Резистор – это реальный элемент электрической цепи, в котором электрическая энергия в основном преобразуется в тепловую. Способность резистора преобразовывать электрическую энергию в тепловую характеризуется его сопротивлением. Резистор также может проявлять такие свойства, как запасание энергии электрического и магнитного полей. Идеализированным элементом электрической цепи является сопротивление – упрощённая модель резистора. Сопротивление характеризует только основное свойство резистора – преобразование электрической энергии в тепловую. Таким образом, термин «сопротивление» обозначает основное свойство реального резистора, идеализированный элемент цепи и его единственное свойство. На рисунке 2 показано условное графическое обозначение сопротивления в виде прямоугольника с двумя выводами (зажимами или полюсами). Условные положительные направления тока и напряжения показаны стрелками. Рядом с графическим обозначением ставят его условное буквенное обозначение 𝑅. Ток 𝑖𝑅 , протекающий через сопротивление, и напряжение 𝑢𝑅 между его выводами, связаны законом Ома. Таким образом, напряжение 𝑢𝑅 на сопротивлении равно произведению тока 𝑖𝑅 на величину сопротивления 𝑅. Величина 𝐺, обратно пропорциональная сопротивлению 𝑅, называется проводимостью: 𝐺 = 1 / R. График зависимости тока от напряжения на сопротивлении 𝑖𝑅 (𝑢𝑅 ) называется вольт-амперной характеристикой, сокращенно ВАХ. Если величина 𝑅 не зависит от тока 𝑖𝑅 или напряжения 𝑢𝑅 на выводах, то сопротивление называется линейным. В этом случае для ВАХ получаем график линейной функции (см. рисунок 3, а). Если ВАХ отображает нелинейную зависимость, величина 𝑅 зависит от тока или напряжения на выводах, сопротивление считается нелинейным. Свойства нелинейного сопротивления могут быть охарактеризованы либо его вольт-амперной характеристикой (ВАХ), либо зависимостями его статического и дифференциального сопротивлений от тока (напряжений). Статическое сопротивление 𝑅ст характеризует нелинейное сопротивление в режиме постоянного тока. Оно равно отношению напряжения 𝑈𝑅 на сопротивлении к протекающему по нему току 𝐼𝑅 : 𝑅ст = 𝑈𝑅 / 𝐼𝑅. Дифференциальное сопротивление 𝑅диф – это отношение малого (теоретически бесконечно малого) приращения напряжения на сопротивлении к приращению протекающего по нему тока в области рабочей точки, то есть 𝑅диф равно производной напряжения 𝑢𝑅 по току 𝑖𝑅 : 𝑅диф = 𝑑𝑢𝑅 / 𝑑𝑖𝑅. На рисунке 4 показан пример расчета статического и динамического сопротивлений в рабочей точке 𝑖𝑅 = 𝑖1 , 𝑢𝑅 = 𝑢1. Значение 𝑅ст пропорционально тангенсу угла 𝑡𝑔(𝛼), то есть тангенсу угла наклона прямой, проведенной из начала ординат в рабочую точку. Значение 𝑅диф пропорционально тангенсу угла 𝑡𝑔(𝛽), то есть тангенсу угла наклона касательной к кривой 𝑖𝑅 (𝑢𝑅 ) в точке𝑖𝑅 = 𝑖1 , 𝑢𝑅 = 𝑢1. Мгновенная мощность сопротивления 𝑝𝑅 равна произведению мгновенного значения тока 𝑖𝑅 и мгновенного значения напряжения 𝑢𝑅 : 𝑝𝑅 = 𝑖𝑅 𝑢𝑅 = 𝑅𝑖𝑅2 = 𝐺𝑢𝑅2. Единица измерения сопротивления – ом. Сокращённое обозначение – Ом. Единица измерения проводимости – сименс."
19,Теория электрических цепей,теория электрических цепей,Конденсатор,"Конденсатор – это реальный элемент электрической цепи, обладающий основным свойством запасать энергию электрического поля. Способность конденсатора запасать энергию электрического поля характеризуется его емкостью. Конденсатор может также проявлять такие свойства как запасание энергии магнитного поля, а также преобразование электрической энергии в тепловую. Идеализированным элементом электрической цепи является емкость – упрощенная модель конденсатора. Емкость характеризует только основное свойство конденсатора запасать энергию электрического поля. Таким образом, термин «емкость» обозначает основное свойство реального конденсатора, идеализированный элемент цепи и его единственное свойство. На рисунке 5 показано условное графическое обозначение емкости в виде двух параллельных прямых линий с двумя выводами (зажимами или полюсами). Условные положительные направления тока и напряжения показаны стрелками. Рядом с графическим обозначением ставят его условное буквенное обозначение С. Зависимость заряда 𝑞, накопленного емкостью, от напряжения на емкости 𝑢𝐶 , называется кулон-вольтной характеристикой. Если величина емкости не зависит от напряжения на ней, то емкость называется линейной. Если величина емкости зависит от напряжения на ней, то емкость называется нелинейной. Примеры кулон-вольтных характеристик емкостей показаны на рисунке 6. Найдем зависимости между мгновенными значениями тока 𝑖С и напряжения 𝑢С на зажимах линейной емкости. Для линейной емкости производная заряда 𝑞 по напряжению 𝑢𝐶 равна емкости С. Производная заряда 𝑞 по времени 𝑡 определяет ток емкости. Как видно из выражения, ток емкости пропорционален скорости изменения напряжения на емкости. Если напряжение 𝑢𝐶 не изменяется во времени, то ток емкости равен нулю. Для того, чтобы рассчитать напряжение 𝑢𝐶 , необходимо рассчитать интеграл от тока 𝑖С по времени 𝑡 и разделить результат на величину емкости С. Интегрирование ведется с момента времени 𝑡 = −∞ для того, чтобы учесть все возможные изменения заряда емкости. Предполагается, что в момент времени 𝑡 = −∞ напряжение на емкости равно нулю. Напряжение на емкости 𝑢𝐶 является непрерывной функцией времени. В противном случае, для того, чтобы значение 𝑢𝐶 изменилось мгновенно, по цепи должен протекать бесконечно большой ток. Это противоречит законам физики. Мгновенная мощность емкости 𝑝С равна произведению мгновенных значений тока 𝑖С и напряжения 𝑢С на емкости. При увеличении модуля напряжения |𝑢С | получаем 𝑝С > 0. Это означает, что в емкости накапливается энергия электрического поля. При уменьшении модуля напряжения |𝑢С | получаем 𝑝С < 0. Это означает, что накопленная емкостью энергия электрического поля отдается во внешнюю цепь. Единица измерения емкости – фарад. Сокращенное обозначение – Ф."
20,Теория электрических цепей,теория электрических цепей,Катушка индуктивности,"Катушка индуктивности – реальный элемент электрической цепи, обладающий основным свойством запасать энергию магнитного поля. Способность катушки индуктивности запасать энергию магнитного поля характеризуется ее индуктивностью. Катушка индуктивности может также проявлять такие свойства, как запасание энергии электрического поля, а также преобразование электрической энергии в тепловую. Идеализированным элементом электрической цепи является индуктивность – упрощённая модель катушки индуктивности. Индуктивность характеризует только основное свойство катушки индуктивности запасать энергию магнитного поля. Таким образом, термин «индуктивность» обозначает основное свойство реальной катушки индуктивности, идеализированный элемент цепи и его единственное свойство. На рисунке 7 показано условное графическое обозначение индуктивности в виде трёх полуокружностей с двумя выводами (зажимами или полюсами). Условные положительные направления тока и напряжения показаны стрелками. Рядом с графическим обозначением ставят его условное буквенное обозначение 𝐿. Рассмотрим проводник в виде замкнутого контура, показанный на рисунке 8. Протекающий по проводнику ток 𝑖𝐿 создает магнитное поле и контур будет пронизываться магнитным потоком (или потокосцеплением) самоиндукции Ψ. Коэффициент пропорциональности между током 𝑖𝐿 и магнитным потоком Ψ называется индуктивностью 𝐿. Изображенный на рисунке 8 контур можно считать простейшим случаем индуктивности. Обычно индуктивность состоит из нескольких витков. Если ток 𝑖𝐿 будет изменяться во времени, то согласно закону электромагнитной индукции будет изменяться и поток Ψ. Изменяющийся во времени поток Ψ создаст вихревое электрическое поле, и на выводах линейной индуктивности появится электродвижущая сила самоиндукции 𝑒. Таким образом, математически можно записать, что электродвижущая сила самоиндукции 𝑒 равна производной потока Ψ по времени или производной тока 𝑖𝐿 , протекающего через индуктивность, по времени. Согласно выбранным положительным направлениям тока и напряжения на рисунке 7, напряжение на индуктивности 𝑢𝐿 равно величине электродвижущей силы самоиндукции 𝑒, взятой с обратным знаком. Единица измерения индуктивности – генри. Сокращённое обозначение – Гн. Идеализированные элементы электрической цепи (емкость и индуктивность), способные накапливать энергию электрического или магнитного полей, называют реактивными."
21,Теория электрических цепей,теория электрических цепей,Идеальный источник напряжения,"Идеальный источник напряжения (источник напряжения, источник электродвижущей силы) представляет собой идеализированный активный элемент, напряжение на зажимах которого не зависит от протекающего через него тока. Условное графическое обозначение источника ЭДС показано на рисунке 9 а. Внутри источника за счет действия сторонних сил происходит упорядоченное перемещение положительных зарядов. Работа, которая затрачивается на перемещение положительного заряда от вывода «–» до вывода «+», называется электродвижущей силой и обозначается как 𝑒(𝑡). Таким образом, напряжение на выводах источника равно его электродвижущей силе (ЭДС), то есть 𝑢(𝑡) = 𝑒(𝑡). Если 𝑒(𝑡) не зависит от времени, то 𝑒(𝑡) = 𝐸 = 𝑐𝑜𝑛𝑠𝑡. Такой источник называется источником постоянного напряжения. Пример его вольт-амперной характеристики показан на рисунке 9 б.  Идеальный источник тока представляет собой идеальный активный элемент, ток которого не зависит от напряжения на его выводах. Условное графическое обозначение источника тока показано на рисунке 10 а. Стрелки в источнике тока показывают положительное направление тока или полярность источника, то есть направление перемещения положительных зарядов. Если ток источника 𝑖𝑔(𝑡) не зависит от времени, то 𝑖𝑔(𝑡) = 𝐼 = 𝑐𝑜𝑛𝑠𝑡. Такой источник называется источником постоянного тока. Пример его вольт-амперной характеристики показан на рисунке 10 б."
22,Теория электрических цепей,теория электрических цепей,Схемы замещения реальных источников,"Напряжение на выводах реального источника напряжения зависит от протекающего через него тока. Данное обстоятельство можно учесть последовательным включением в цепь идеального источника напряжения сопротивления 𝑅𝑔. Его называют внутренним сопротивлением источника (генератора). Соответствующая схема замещения показана на рисунке 11 а, вольт-амперная характеристика приведена на рисунке 11 б. Напряжение 𝑢 на внешних зажимах такого источника равно разности амплитуды источника электродвижущей силы E (ЭДС) и падения напряжения на внутреннем сопротивлении источника 𝑅𝑔 𝑖: 𝑢 = 𝐸 − 𝑅𝑔𝑖. В сокращенной форме формула читается так: напряжение равно разности амплитуды источника ЭДС (Е) и падения напряжения на внутреннем сопротивлении. Отсюда следует, что в режиме холостого хода (то есть, когда к выводам источника не подключены другие элементы) напряжение 𝑢 равно амплитуде 𝐸 ЭДС источника: 𝑢 = 𝐸. При подключении элемента к внешним зажимам источника в электрической цепи начинает протекать ток, и напряжение 𝑢 начинает уменьшаться. Ток, вырабатываемый реальным источником тока, уменьшается с ростом напряжения на его внешних выводах. Данное явление учитывается параллельным подключением проводимости 𝐺𝑔, которую называют внутренней проводимостью источника. Схема замещения реального источника тока для этого случая приведена на рисунке 12 а. Уравнение вольт-амперной характеристики (ВАХ) имеет следующий вид: 𝑖 = 𝑖𝑔 − 𝑢𝐺𝑔, где 𝑖𝑔 – ток идеального источника, 𝑢𝐺𝑔 – ток, протекающий через внутреннюю проводимость 𝐺𝑔 генератора. Таким образом, ток реального источника равен разности тока идеального источника и тока, протекающего через внутреннюю проводимость. Отсюда следует, что в режиме холостого хода (то есть, когда к выводам источника не подключены другие элементы) ток генератора 𝑖𝑔 замыкается через внутреннюю проводимость. В режиме короткого замыкания (то есть, когда внешние выводы источника закорочены) ток 𝑖𝑔 принимает максимальное значение."
23,Теория электрических цепей,теория электрических цепей,Схемы замещения реальных пассивных компонентов,"При описании идеализированных пассивных элементов подчеркивалось, что каждый из них отражает только одну существенную особенность электромагнитных процессов, протекающих в реальных элементах электрической цепи. Для повышения точности расчетов параметров электрических цепей схемы замещения реальных элементов строят из различных идеализированных элементов. На рисунке 13 показаны упрощенные схемы замещения резистора, конденсатора и катушки индуктивности. Например, схема замещения резистора содержит индуктивность 𝐿𝑅 и ёмкость C𝑅. Элементы 𝐿𝑅 и С𝑅 характеризуют дополнительные свойства резистора: запасание энергии магнитного и электрического поля. Схема замещения конденсатора дополнительно содержит элементы 𝑅𝑏, 𝐿𝑏 и 𝑅𝑦. Схема катушки индуктивности, помимо самой индуктивности, содержит элементы 𝑅𝐿 и С𝐿. Как правило, проявление указанных дополнительных свойств у реальных элементов является нежелательным. Пассивные элементы, учитывающие не основные свойства реальных элементов, называют паразитными."
24,Теория электрических цепей,теория электрических цепей,Последовательное соединение элементов электрической цепи,"Электрическая схема образуется путем соединения различных элементов цепи. Таким образом формируется структура или топология электрической цепи, которая определяется только способом соединения элементов и не зависит от их типа. Токи и напряжения в электрической цепи с заданной структурой удовлетворяют определенным закономерностям. Их знание позволяет анализировать процессы, протекающие в цепях. Простейшее соединение элементов – последовательное или параллельное. При последовательном соединении элементов через них протекает одинаковый ток. На рисунке 14 показан участок электрической цепи, образованный последовательным соединением сопротивлений. Также можно сказать, что структура данного участка цепи образована последовательным соединением сопротивлений. Последовательное соединение сопротивлений можно рассматривать как единое или эквивалентное сопротивление 𝑅𝑎𝑏, равное алгебраической сумме сопротивлений с порядковыми номерами 1, 2, …, k. На языке математики данное выражение называется числовым рядом или просто рядом, числа 𝑅1, 𝑅2,…, 𝑅𝑘 – членами числового ряда, член 𝑅𝑘 с произвольным номером – общим членом ряда, k – индекс суммирования. На рисунке 15 показан участок электрической цепи, образованный последовательным соединением емкостей. Последовательное соединение емкостей можно рассматривать как единую эквивалентную емкость С𝑎𝑏, обратное значение которой 1/С𝑎𝑏, равно сумме обратных значений отдельных емкостей 1/С𝑘. На рисунке 16 показан участок электрической цепи, образованный последовательным соединением индуктивностей. Последовательное соединение индуктивностей можно рассматривать как эквивалентную индуктивность 𝐿𝑎𝑏, равную алгебраической сумме индуктивностей с порядковыми номерами 1, 2, …, k."
